,Feature
0,0.04026985168457031
1,0.040246009826660156
2,0.04024338722229004
3,0.020113706588745117
4,0.02011704444885254
5,0.040231943130493164
6,0.020175457000732422
7,0.020122766494750977
8,0.020183563232421875
9,0.02017831802368164
10,0.020122289657592773
11,0.020127534866333008
12,0.020121097564697266
13,0.02013397216796875
14,0.06037163734436035
15,0.04025745391845703
16,0.020123720169067383
17,0.04026365280151367
18,0.0201261043548584
19,0.04039788246154785
20,0.0201265811920166
21,0.02016925811767578
22,0.04025125503540039
23,0.04028058052062988
24,0.02013564109802246
25,0.02017688751220703
26,0.0201718807220459
27,0.04028892517089844
28,0.02009105682373047
29,0.020124435424804688
30,0.040342092514038086
31,0.020122289657592773
32,0.02019476890563965
33,0.02012944221496582
34,0.020117759704589844
35,0.04023551940917969
36,0.02012157440185547
37,0.040299177169799805
38,0.04027819633483887
39,0.02019500732421875
40,0.02012777328491211
41,0.04044318199157715
42,0.04069995880126953
43,0.02013111114501953
44,0.04027986526489258
45,0.020124435424804688
46,0.040250301361083984
47,0.020133256912231445
48,0.04028439521789551
49,0.04028177261352539
50,0.040358543395996094
51,0.02013421058654785
52,0.020191192626953125
53,0.0201261043548584
54,0.020125865936279297
55,0.04026532173156738
56,0.04051041603088379
57,0.020133495330810547
58,0.020180702209472656
59,0.020123004913330078
60,0.020130634307861328
61,0.020125150680541992
62,0.040255069732666016
63,0.020122051239013672
64,0.020159482955932617
65,0.02018570899963379
66,0.020139694213867188
67,0.020141124725341797
68,0.040293216705322266
69,0.020115375518798828
70,0.020122528076171875
71,0.02012348175048828
72,0.020127058029174805
73,0.020160913467407227
74,0.02016425132751465
75,0.02015852928161621
76,0.020128488540649414
77,0.020119667053222656
78,0.02015829086303711
79,0.020068883895874023
80,0.02012920379638672
81,0.02014017105102539
82,0.040289878845214844
83,0.020165681838989258
84,0.020129919052124023
85,0.04027533531188965
86,0.0201413631439209
87,0.020116567611694336
88,0.020127534866333008
89,0.020122528076171875
90,0.020137786865234375
91,0.020131349563598633
92,0.0201261043548584
93,0.020129680633544922
94,0.02013850212097168
95,0.0201261043548584
96,0.02013254165649414
97,0.020136117935180664
98,0.020123004913330078
99,0.020130395889282227
100,0.020127058029174805
101,0.020120859146118164
102,0.0201261043548584
103,0.02014756202697754
104,0.020180225372314453
105,0.02017521858215332
106,0.020154714584350586
107,0.020124435424804688
108,0.020140409469604492
109,0.02012348175048828
110,0.020122289657592773
111,0.020123004913330078
112,0.020123720169067383
113,0.04024934768676758
114,0.020173311233520508
115,0.02016305923461914
116,0.02012181282043457
117,0.020122766494750977
118,0.020122528076171875
119,0.02013111114501953
120,0.020128488540649414
121,0.02013874053955078
122,0.020125627517700195
123,0.020162582397460938
124,0.020087718963623047
125,0.0201265811920166
126,0.020124435424804688
127,0.020127296447753906
128,0.02012348175048828
129,0.020142793655395508
130,0.020153284072875977
131,0.020158052444458008
132,0.02012181282043457
133,0.040313720703125
134,0.020141124725341797
135,0.020128250122070312
136,0.020136356353759766
137,0.020123720169067383
138,0.04032278060913086
139,0.02014899253845215
140,0.020176172256469727
141,0.0200655460357666
142,0.02018904685974121
143,0.020134449005126953
144,0.02011704444885254
145,0.02016448974609375
146,0.020119667053222656
147,0.02012348175048828
148,0.020119667053222656
149,0.020134687423706055
150,0.020121097564697266
151,0.020125389099121094
152,0.0201265811920166
153,0.0201261043548584
154,0.02014899253845215
155,0.02012777328491211
156,0.020131349563598633
157,0.02008533477783203
158,0.020117521286010742
159,0.0201265811920166
160,0.02016448974609375
161,0.020123958587646484
162,0.020120859146118164
163,0.020133256912231445
164,0.020155668258666992
165,0.020120620727539062
166,0.020144939422607422
167,0.04029250144958496
168,0.020121335983276367
169,0.02012348175048828
170,0.020128488540649414
171,0.020136356353759766
172,0.020183563232421875
173,0.020122289657592773
174,0.020137548446655273
175,0.02012777328491211
176,0.020135164260864258
177,0.02011847496032715
178,0.020125865936279297
179,0.020123004913330078
180,0.020112276077270508
181,0.020163297653198242
182,0.04024386405944824
183,0.020117521286010742
184,0.02011871337890625
185,0.020110368728637695
186,0.020130395889282227
187,0.02013707160949707
188,0.020160198211669922
189,0.02008056640625
190,0.020128488540649414
191,0.020160913467407227
192,0.020160675048828125
193,0.04024338722229004
194,0.020131826400756836
195,0.020123958587646484
196,0.020117998123168945
197,0.020139694213867188
198,0.02015519142150879
199,0.020125627517700195
200,0.02013707160949707
201,0.020128488540649414
202,0.020123004913330078
203,0.020125627517700195
204,0.020118236541748047
205,0.020128250122070312
206,0.04024147987365723
207,0.0402989387512207
