,mapOptization
50,0.020136356353759766
51,0.020136356353759766
52,0.04028630256652832
53,0.04028630256652832
54,0.060410261154174805
55,0.060410261154174805
56,0.08053231239318848
57,0.08053231239318848
58,0.10065102577209473
59,0.10065102577209473
60,0.12080264091491699
61,0.12080264091491699
62,0.1409292221069336
63,0.1409292221069336
64,0.16104602813720703
65,0.16104602813720703
66,0.18112707138061523
67,0.18112707138061523
68,0.20129752159118652
69,0.20129752159118652
70,0.2214806079864502
71,0.2214806079864502
72,0.24164175987243652
73,0.24164175987243652
74,0.26175546646118164
75,0.26175546646118164
76,0.2818446159362793
77,0.2818446159362793
78,0.3019719123840332
79,0.3019719123840332
80,0.32210445404052734
81,0.32210445404052734
82,0.3422272205352783
83,0.3422272205352783
84,0.36234426498413086
85,0.36234426498413086
86,0.06039738655090332
87,0.06039738655090332
88,0.08050918579101562
89,0.08050918579101562
90,0.10062932968139648
91,0.10062932968139648
92,0.12076377868652344
93,0.12076377868652344
94,0.14088726043701172
95,0.14088726043701172
96,0.16106271743774414
97,0.16106271743774414
98,0.18117856979370117
99,0.18117856979370117
100,0.20130658149719238
101,0.20130658149719238
102,0.22143101692199707
103,0.22143101692199707
104,0.2415938377380371
105,0.2415938377380371
106,0.2617166042327881
107,0.2617166042327881
108,0.28205204010009766
109,0.28205204010009766
110,0.3021972179412842
111,0.3021972179412842
112,0.3223237991333008
113,0.3223237991333008
114,0.3424489498138428
115,0.3424489498138428
116,0.3625917434692383
117,0.3625917434692383
118,0.38277530670166016
119,0.38277530670166016
120,0.06044650077819824
121,0.06044650077819824
122,0.08069491386413574
123,0.08069491386413574
124,0.10082101821899414
125,0.10082101821899414
126,0.1209421157836914
127,0.1209421157836914
128,0.14107084274291992
129,0.14107084274291992
130,0.1611931324005127
131,0.1611931324005127
132,0.18149209022521973
133,0.18149209022521973
134,0.20163798332214355
135,0.20163798332214355
136,0.2217564582824707
137,0.2217564582824707
138,0.24187994003295898
139,0.24187994003295898
140,0.262007474899292
141,0.262007474899292
142,0.2821941375732422
143,0.2821941375732422
144,0.3023703098297119
145,0.3023703098297119
146,0.32250285148620605
147,0.32250285148620605
148,0.3426198959350586
149,0.3426198959350586
150,0.36275362968444824
151,0.36275362968444824
152,0.3828747272491455
153,0.3828747272491455
154,0.04025983810424805
155,0.04025983810424805
156,0.0603938102722168
157,0.0603938102722168
158,0.08057379722595215
159,0.08057379722595215
160,0.1007530689239502
161,0.1007530689239502
162,0.12087702751159668
163,0.12087702751159668
164,0.14101004600524902
165,0.14101004600524902
166,0.16116046905517578
167,0.16116046905517578
168,0.18128728866577148
169,0.18128728866577148
170,0.20140933990478516
171,0.20140933990478516
172,0.22153210639953613
173,0.22153210639953613
174,0.2416706085205078
175,0.2416706085205078
176,0.261918306350708
177,0.261918306350708
178,0.2820436954498291
179,0.2820436954498291
180,0.30217576026916504
181,0.30217576026916504
182,0.32230496406555176
183,0.32230496406555176
184,0.34242939949035645
185,0.34242939949035645
186,0.36255311965942383
187,0.36255311965942383
188,0.3826754093170166
189,0.3826754093170166
190,0.06041598320007324
191,0.06041598320007324
192,0.08054447174072266
193,0.08054447174072266
194,0.10067963600158691
195,0.10067963600158691
196,0.12079954147338867
197,0.12079954147338867
198,0.14092779159545898
199,0.14092779159545898
200,0.16105389595031738
201,0.16105389595031738
202,0.18117785453796387
203,0.18117785453796387
204,0.20131158828735352
205,0.20131158828735352
206,0.22145605087280273
207,0.22145605087280273
208,0.24158120155334473
209,0.24158120155334473
210,0.2617645263671875
211,0.2617645263671875
212,0.2819790840148926
213,0.2819790840148926
214,0.3020923137664795
215,0.3020923137664795
216,0.3222677707672119
217,0.3222677707672119
218,0.34239625930786133
219,0.34239625930786133
220,0.36252284049987793
221,0.36252284049987793
222,0.040244102478027344
223,0.040244102478027344
224,0.06039762496948242
225,0.06039762496948242
226,0.0805668830871582
227,0.0805668830871582
228,0.1006925106048584
229,0.1006925106048584
230,0.12104058265686035
231,0.12104058265686035
232,0.14118504524230957
233,0.14118504524230957
234,0.16130995750427246
235,0.16130995750427246
236,0.18149948120117188
237,0.18149948120117188
238,0.2016305923461914
239,0.2016305923461914
240,0.22175073623657227
241,0.22175073623657227
242,0.24187541007995605
243,0.24187541007995605
244,0.26201796531677246
245,0.26201796531677246
246,0.2821543216705322
247,0.2821543216705322
248,0.30229854583740234
249,0.30229854583740234
250,0.3228316307067871
251,0.3228316307067871
252,0.34296607971191406
253,0.34296607971191406
254,0.3631398677825928
255,0.3631398677825928
256,0.38327550888061523
257,0.38327550888061523
258,0.0805361270904541
259,0.0805361270904541
260,0.1006631851196289
261,0.1006631851196289
262,0.12156891822814941
263,0.12156891822814941
264,0.14170169830322266
265,0.14170169830322266
266,0.1618361473083496
267,0.1618361473083496
268,0.181976318359375
269,0.181976318359375
270,0.2021481990814209
271,0.2021481990814209
272,0.22315526008605957
273,0.22315526008605957
274,0.24336957931518555
275,0.24336957931518555
276,0.2635011672973633
277,0.2635011672973633
278,0.2836766242980957
279,0.2836766242980957
280,0.3037900924682617
281,0.3037900924682617
282,0.32390284538269043
283,0.32390284538269043
284,0.3440525531768799
285,0.3440525531768799
286,0.3641805648803711
287,0.3641805648803711
288,0.38427162170410156
289,0.38427162170410156
290,0.060323238372802734
291,0.060323238372802734
292,0.08044767379760742
293,0.08044767379760742
294,0.10064220428466797
295,0.10064220428466797
296,0.12082672119140625
297,0.12082672119140625
298,0.14095592498779297
299,0.14095592498779297
300,0.16107606887817383
301,0.16107606887817383
302,0.1812727451324463
303,0.1812727451324463
304,0.20145797729492188
305,0.20145797729492188
306,0.22161483764648438
307,0.22161483764648438
308,0.24173784255981445
309,0.24173784255981445
310,0.26186537742614746
311,0.26186537742614746
312,0.28200340270996094
313,0.28200340270996094
314,0.3021256923675537
315,0.3021256923675537
316,0.3222503662109375
317,0.3222503662109375
318,0.3424038887023926
319,0.3424038887023926
320,0.36254191398620605
321,0.36254191398620605
322,0.3827366828918457
323,0.3827366828918457
324,0.40285539627075195
325,0.40285539627075195
326,0.040210723876953125
327,0.040210723876953125
328,0.060340166091918945
329,0.060340166091918945
330,0.0804743766784668
331,0.0804743766784668
332,0.10059213638305664
333,0.10059213638305664
334,0.1207115650177002
335,0.1207115650177002
336,0.14086365699768066
337,0.14086365699768066
338,0.1609814167022705
339,0.1609814167022705
340,0.1811072826385498
341,0.1811072826385498
342,0.2012636661529541
343,0.2012636661529541
344,0.2214059829711914
345,0.2214059829711914
346,0.2415294647216797
347,0.2415294647216797
348,0.2616612911224365
349,0.2616612911224365
350,0.2817850112915039
351,0.2817850112915039
352,0.3018968105316162
353,0.3018968105316162
354,0.3220193386077881
355,0.3220193386077881
356,0.34221363067626953
357,0.34221363067626953
