,imageProjection
0,0.040244340896606445
1,0.02012777328491211
2,0.04027581214904785
3,0.040270328521728516
4,0.04035353660583496
5,0.04025983810424805
6,0.04026603698730469
7,0.020134449005126953
8,0.020124435424804688
9,0.040251731872558594
10,0.020134449005126953
11,0.020121097564697266
12,0.02011847496032715
13,0.04024958610534668
14,0.02013254165649414
15,0.04025697708129883
16,0.040261268615722656
17,0.02012920379638672
18,0.04029393196105957
19,0.020119905471801758
20,0.04026961326599121
21,0.020175457000732422
22,0.020123958587646484
23,0.04026937484741211
24,0.02012467384338379
25,0.020134449005126953
26,0.020160913467407227
27,0.040267229080200195
28,0.020214319229125977
29,0.020149707794189453
30,0.02004241943359375
31,0.04024934768676758
32,0.040250539779663086
33,0.020153522491455078
34,0.020123004913330078
35,0.020119428634643555
36,0.040265798568725586
37,0.020122528076171875
38,0.020134925842285156
39,0.04027056694030762
40,0.0402531623840332
41,0.04025387763977051
42,0.0402529239654541
43,0.04024910926818848
44,0.04028010368347168
45,0.020122766494750977
46,0.020130395889282227
47,0.04028153419494629
48,0.04022049903869629
49,0.04024934768676758
50,0.04027080535888672
51,0.04027271270751953
52,0.04029488563537598
53,0.04029059410095215
54,0.04030203819274902
55,0.040250301361083984
56,0.020122528076171875
57,0.040306806564331055
58,0.04026079177856445
59,0.04024100303649902
60,0.02012157440185547
61,0.040338754653930664
62,0.020119905471801758
63,0.04026460647583008
64,0.04030871391296387
65,0.0201570987701416
66,0.02012324333190918
67,0.04029035568237305
68,0.020128965377807617
69,0.020128250122070312
70,0.04024982452392578
71,0.04024362564086914
72,0.04024386405944824
73,0.04025721549987793
74,0.04033994674682617
75,0.020131826400756836
76,0.02015542984008789
77,0.02011847496032715
78,0.020127534866333008
79,0.020127058029174805
80,0.04024624824523926
81,0.020193815231323242
82,0.02013230323791504
83,0.04028177261352539
84,0.020159244537353516
85,0.020159006118774414
86,0.02013850212097168
87,0.02012324333190918
88,0.020144939422607422
89,0.020127296447753906
90,0.02015209197998047
91,0.020121097564697266
92,0.04029345512390137
93,0.040282249450683594
94,0.04027104377746582
95,0.040297508239746094
96,0.0402827262878418
97,0.02016162872314453
98,0.020129919052124023
99,0.02012038230895996
100,0.020189762115478516
101,0.04024100303649902
102,0.0402522087097168
103,0.020125389099121094
104,0.020122051239013672
105,0.020116806030273438
106,0.02011871337890625
107,0.020076990127563477
108,0.02013421058654785
109,0.04027509689331055
110,0.020174741744995117
111,0.020122051239013672
112,0.020128488540649414
113,0.04025006294250488
114,0.040244340896606445
115,0.020136117935180664
116,0.04035663604736328
117,0.02012777328491211
118,0.020155668258666992
119,0.02012944221496582
120,0.020118236541748047
121,0.04025125503540039
122,0.040245771408081055
123,0.0201261043548584
124,0.04026532173156738
125,0.04025626182556152
126,0.040186166763305664
127,0.04037833213806152
128,0.04025697708129883
129,0.0402677059173584
130,0.04024839401245117
131,0.02012944221496582
132,0.04027605056762695
133,0.020125627517700195
134,0.04027748107910156
135,0.040276288986206055
136,0.04025912284851074
137,0.04029083251953125
138,0.04024362564086914
139,0.040209293365478516
140,0.04024767875671387
141,0.040264129638671875
142,0.040281057357788086
143,0.040266990661621094
144,0.04030156135559082
145,0.040251970291137695
146,0.04030036926269531
