,Feature
0,0.013000000268220901
1,0.012000000104308128
2,0.014999999664723873
3,0.017999999225139618
4,0.009999999776482582
5,0.014999999664723873
6,0.014999999664723873
7,0.009999999776482582
8,0.014000000432133675
9,0.014000000432133675
10,0.009999999776482582
11,0.010999999940395355
12,0.012000000104308128
13,0.013000000268220901
14,0.012000000104308128
15,0.013000000268220901
16,0.013000000268220901
17,0.013000000268220901
18,0.014000000432133675
19,0.012000000104308128
20,0.012000000104308128
21,0.010206674225628376
22,0.014000000432133675
23,0.019454361870884895
24,0.010999999940395355
25,0.008999999612569809
26,0.014000000432133675
27,0.013136687688529491
28,0.014000000432133675
29,0.010999999940395355
30,0.014000000432133675
31,0.01600000075995922
32,0.006000000052154064
33,0.01600000075995922
34,0.010999999940395355
35,0.01600000075995922
36,0.013000000268220901
37,0.011902372352778912
38,0.012000000104308128
39,0.014000000432133675
40,0.013000000268220901
41,0.010999999940395355
42,0.014000000432133675
43,0.010999999940395355
44,0.014999999664723873
45,0.013000000268220901
46,0.013738214038312435
47,0.014999999664723873
48,0.012000000104308128
49,0.014999999664723873
50,0.009999999776482582
51,0.012000000104308128
52,0.012000000104308128
53,0.012000000104308128
54,0.013000000268220901
55,0.009999999776482582
56,0.014999999664723873
57,0.008999999612569809
58,0.013000000268220901
59,0.014999999664723873
60,0.014999999664723873
61,0.013000000268220901
62,0.013000000268220901
63,0.010999999940395355
64,0.01600000075995922
65,0.012000000104308128
66,0.006000000052154064
67,0.0010000000474974513
68,0.010999999940395355
69,0.012000000104308128
70,0.01600000075995922
71,0.014999999664723873
72,0.014080326072871685
73,0.017000000923871994
74,0.014000000432133675
75,0.012000000104308128
76,0.013000000268220901
77,0.017000000923871994
78,0.008999999612569809
79,0.014000000432133675
80,0.014999999664723873
81,0.013000000268220901
82,0.017000000923871994
83,0.012000000104308128
84,0.012000000104308128
85,0.013000000268220901
86,0.01600000075995922
87,0.010999999940395355
88,0.014999999664723873
89,0.008863613940775394
90,0.017000000923871994
91,0.012000000104308128
92,0.014999999664723873
93,0.013000000268220901
94,0.012000000104308128
95,0.010999999940395355
96,0.013000000268220901
97,0.00800000037997961
98,0.012000000104308128
99,0.0010000000474974513
100,0.013000000268220901
101,0.013000000268220901
102,0.013000000268220901
103,0.02633276954293251
104,0.014000000432133675
105,0.012000000104308128
106,0.014575749635696411
107,0.01600000075995922
108,0.010999999940395355
109,0.014000000432133675
110,0.01600000075995922
111,0.007000000216066837
112,0.012075014412403107
113,0.013000000268220901
114,0.013000000268220901
115,0.013000000268220901
116,0.01600000075995922
117,0.010999999940395355
118,0.013000000268220901
119,0.007000000216066837
120,0.0
121,0.014000000432133675
122,0.009999999776482582
123,0.01600000075995922
124,0.010999999940395355
125,0.009999999776482582
126,0.0
127,0.0
128,0.014999999664723873
129,0.03400000184774399
130,0.0
131,0.03200000151991844
132,0.014999999664723873
133,0.0
134,0.007000000216066837
135,0.07800000160932541
136,0.0
137,0.004000000189989805
138,0.029999999329447746
139,0.039000000804662704
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.05400000140070915
146,0.06300000101327896
147,0.014000000432133675
148,0.01600000075995922
149,0.00920060183852911
150,0.01600000075995922
151,0.010999999940395355
152,0.014999999664723873
153,0.01182060968130827
154,0.011715433560311794
155,0.07900000363588333
156,0.013000000268220901
157,0.012000000104308128
158,0.019249172881245613
159,0.014999999664723873
160,0.0
161,0.013000000268220901
162,0.012000000104308128
163,0.012000000104308128
164,0.014000000432133675
165,0.013000000268220901
166,0.01600000075995922
167,0.014999999664723873
168,0.014000000432133675
169,0.010999999940395355
170,0.012927005998790264
171,0.014000000432133675
172,0.01600000075995922
173,0.013000000268220901
174,0.012000000104308128
175,0.017999999225139618
176,0.010999999940395355
177,0.004999999888241291
178,0.017000000923871994
179,0.00800000037997961
180,0.010999999940395355
181,0.01600000075995922
182,0.008847540244460106
183,0.014000000432133675
184,0.009999999776482582
185,0.014999999664723873
186,0.014000000432133675
187,0.012550310231745243
188,0.009999999776482582
189,0.013000000268220901
190,0.01600000075995922
191,0.014999999664723873
192,0.014000000432133675
193,0.010999999940395355
194,0.0
195,0.009999999776482582
196,0.013000000268220901
197,0.014000000432133675
198,0.013000000268220901
199,0.012000000104308128
200,0.013000000268220901
201,0.014000000432133675
202,0.009999999776482582
203,0.013000000268220901
204,0.013000000268220901
205,0.013000000268220901
206,0.010999999940395355
207,0.014999999664723873
208,0.010999999940395355
209,0.020999999716877937
210,0.013000000268220901
211,0.013000000268220901
212,0.014999999664723873
213,0.009999999776482582
214,0.013656985945999622
215,0.012000000104308128
216,0.010999999940395355
217,0.008999999612569809
218,0.00800000037997961
219,0.012000000104308128
220,0.014000000432133675
221,0.010999999940395355
222,0.013000000268220901
223,0.03799999877810478
224,0.01600000075995922
225,0.010999999940395355
226,0.014999999664723873
227,0.010999999940395355
228,0.0055361478589475155
229,0.014999999664723873
230,0.014000000432133675
231,0.014000000432133675
232,0.014999999664723873
233,0.0
234,0.04800000041723251
235,0.0
236,0.014125105924904346
237,0.012000000104308128
238,0.012320468202233315
239,0.014999999664723873
240,0.024000000208616257
241,0.01307674776762724
242,0.014999999664723873
243,0.009999999776482582
244,0.009999999776482582
245,0.014999999664723873
246,0.013000000268220901
247,0.05700000002980232
248,0.013620710000395775
249,0.010999999940395355
250,0.012000000104308128
251,0.014000000432133675
252,0.014000000432133675
253,0.010999999940395355
254,0.032999999821186066
255,0.012000000104308128
256,0.013000000268220901
257,0.013000000268220901
258,0.014999999664723873
259,0.017000000923871994
260,0.010999999940395355
261,0.012000000104308128
262,0.011589812114834785
